ticker,da,roa,net_profit_margin,asset_turnover,debt_ratio
WRB,0.7050009922603692,0.21363365747172058,0.31722410490643876,0.6734471125223258,0.7050009922603692
BIO,0.38940306012499104,0.2941512822354716,1.8885383806519453,0.15575605200775805,0.38940306012499104
TECH,0.47543151349754526,0.38153248835933434,7.406335335882032,0.051514341581442455,0.47543151349754526
BIIB,0.24409828167656977,0.8829291793801188,14.506596306068602,0.060863979444355225,0.24409828167656977
BLK,2.1676190476190476,0.35957671957671955,0.6416163141993958,0.5604232804232804,2.1676190476190476
BK,0.8420843214336872,0.06921742451974344,0.23254197412041494,0.2976556158584138,0.8420843214336872
BA,0.4541460513480091,0.3574463558483035,43.48529411764706,0.008219936488902482,0.4541460513480091
BKNG,0.6595578103469873,0.16062257296755605,0.27328431372549017,0.587748966553927,0.6595578103469873
BWA,0.961804809366779,0.4427526029122976,0.571856201455788,0.7742376523768942,0.961804809366779
BXP,1.3345747982619491,0.5043451272501552,2.4771341463414633,0.20360024829298573,1.3345747982619491
BSX,0.6295029321418598,0.2495811225914549,2.278521351179095,0.10953644233454342,0.6295029321418598
BRO,0.7979714795169236,0.2614017848911594,630.1029810298103,0.00041485565496601333,0.7979714795169236
CHRW,0.7866418791591503,1.411123831630505,6.64055777860613,0.21250079867940003,0.7866418791591503
CDNS,0.6165883751202671,0.3522236685720754,1.9257957309337113,0.18289773048842606,0.6165883751202671
CZR,0.6960330309541081,0.18151855233072878,0.22743782117518585,0.7981018785389815,0.6960330309541081
COF,1.2605263157894737,0.31473684210526315,0.546617915904936,0.5757894736842105,1.2605263157894737
CAH,0.12786972770955687,0.1988788040576615,0.28576908323743766,0.695942338494394,0.12786972770955687
KMX,0.7486681954489328,0.05725877579820074,0.05178189707430686,1.105768213088728,0.7486681954489328
CCL,0.42664151683059404,0.2373112299527819,0.1666765980136621,1.4237825392460315,0.42664151683059404
CARR,5.10597519729425,0.850620067643743,0.6194581280788177,1.3731679819616684,5.10597519729425
CTLT,0.4425363276089828,0.20305718060011324,0.3904208998548621,0.5200981317229666,0.4425363276089828
CAT,0.7605363466789219,0.07631586061474413,0.36118219037871035,0.21129463923657105,0.7605363466789219
CBOE,0.7240715797575524,0.5135655185684048,0.713827226531158,0.7194535308832019,0.7240715797575524
CBRE,0.7871653218183808,0.18818320282832704,0.37293600442991903,0.5045991821465171,0.7871653218183808
CDW,0.7522595460299702,0.1886536932905467,0.1724063710718898,1.0942385256278153,0.7522595460299702
CE,0.551296941540844,0.14130855594270228,0.2934083601286174,0.4816105303910182,0.551296941540844
CNC,0.9293117744610282,1.0773217247097844,6.662820512820513,0.16169154228855723,0.9293117744610282
CNP,1.0603839441535776,0.4055846422338569,1.1845056065239552,0.3424083769633508,1.0603839441535776
CF,0.5386915887850467,0.06467289719626168,0.1819137749737119,0.3555140186915888,0.5386915887850467
CRL,0.5745697883796458,0.2510950902831315,0.6530034812758101,0.38452335628066286,0.5745697883796458
SCHW,0.20720626631853786,0.09493472584856397,0.7444717444717445,0.1275195822454308,0.20720626631853786
CHTR,3.168096723868955,3.513650546021841,6.683234421364985,0.5257410296411856,3.168096723868955
CVX,1.0499511755427027,0.503004581987531,0.6351306492151563,0.7919702546383235,1.0499511755427027
CMG,0.4033119215621305,0.5895310746801413,0.5031331099345614,1.1717198948739769,0.4033119215621305
CB,0.23353596757852077,-0.6684397163120568,-0.24555689959988833,2.7221377912867273,0.23353596757852077
CHD,1.381326949384405,0.46785225718194257,0.8416735028712059,0.555859553123575,1.381326949384405
CTAS,0.5785954101299682,0.3472671475452781,0.7970374406531064,0.435697408719873,0.5785954101299682
CSCO,0.3295341863493543,0.09015208534939011,1.645083932853717,0.05480090319343393,0.3295341863493543
C,0.06704892208378774,0.01038258589730879,0.46178343949044587,0.02248366877072386,0.06704892208378774
CFG,0.583873290136789,0.11087113030957524,0.49464668094218417,0.22414206863450925,0.583873290136789
CTXS,0.7411927320898717,0.27985556583865606,5.341728264051523,0.05239045342722001,0.7411927320898717
